 1  95  96  94  97  95  94  95  95  95  94  92  97  98  97  91
 2  94  94  92  93  95  96  96  95  95  94  96  99  97  99  99
 3  94  93  92  91  93  92  94  93  94  92  94  96  96  98  96
 4  96  98  97  98  95  98  98  99  98  97  97  95  95  92  96
 5  94  93  94  95  95  94  90  93  93  95  93  96  96  96  93
 6  97  99 100  99  99  98  97  98  94  98  99  99  98  99 100
 7  97  90  93  91  97  95  95  96  92  97  92  91  89  92  92
 8  94  95  95  95  95  93  96  96  94  95  96  92  95  94  96
10  95  96  95  94  94  97  99 100 100  99  91  92  92  93  94
11  96  96  96  96  96 100 100 100 100 100  96  96  96  96  96
12  98  96  99  97  98  99  99  98  98  99  99  99  99  99  99
13  94  89  88  79  93  97  98  98  98  96  96  94  94  92  95
14  93  93  94  94  95  93  94  95  95  94  95  96  97  97  97
15  97 100  97  98  96 100 100  99  99 100  97  96  97  97 100
16  96  97  99 100  97  96  95  95  96  97  96  94  93  94  96
17  92  93  94  93  93  92  90  91  90  93  96 100 100 100  98
18 100  99  98  99  99  96  95  97  97  96  96  96  99  99  95
19  97  96  96  96  96  98 100 100 100  99  98  98  97  99  98
20  94  97  98  98  96  98  97  96  93 100  98  95  95  96  97
21  94  97  97  95  95  96  96  96  96  97  95  83  92  93  95
22  96  96  94  94  96  97  95  95  92  96  96  98  98  98  98
23  97  98  97  96  98  99  95  93  90  99  98  99  99  98  97
24  97  98  98  99  98 100 100 100 100 100  97  97  97  96  96
25  98 100 100 100  96  95  96  97  96  94  95  94  97  98  97
26  91  90  92  92  92  94  93  94  94  94  95  93  92  93  95

