 1 .190 .388 .621 .823 1.078 1.132 1.191
 2 .218 .393 .568 .729  .839  .852 1.004
 3 .211 .394 .549 .700  .783  .870  .925
 4 .209 .419 .645 .850 1.001 1.026 1.069
 5 .193 .362 .520 .530  .641  .640  .751
 6 .201 .361 .502 .530  .657  .762  .888
 7 .202 .370 .498 .650  .795  .858  .910
 8 .190 .350 .510 .666  .819  .879  .929
 9 .219 .399 .578 .699  .709  .822  .953
10 .225 .400 .545 .690  .796  .825  .836
11 .224 .381 .577 .756  .869  .929  .999
12 .187 .329 .441 .525  .589  .621  .796
13 .278 .471 .606 .770  .888 1.001 1.105

